state,abbr,poverty,age,income,noHealthInsurance,obesity,smokes
Alabama,AL,19.3,38.6,42830,13.9,33.5,21.1
Alaska,AK,11.2,33.3,71583,15,29.7,19.9
Arizona,AZ,18.2,36.9,50068,14.4,28.9,16.5
Arkansas,AR,18.9,37.8,41262,16.3,35.9,24.7
California,CA,16.4,36,61933,14.8,24.7,12.9
Colorado,CO,12,36.3,61303,12.8,21.3,15.7
Connecticut,CT,10.8,40.5,70048,8.7,26.3,15.4
Delaware,DE,12.5,39.6,59716,8.7,30.7,19.9
Washington D.C.,DC,17.7,33.8,71648,8.3,21.7,16.4
Florida,FL,16.5,41.6,47463,17.6,26.2,17.7
Georgia,GA,18.3,36.1,49321,20.9,30.5,17.4
Hawaii,HI,11.4,38.1,69592,8.1,22.1,14.1
Idaho,ID,14.8,35.9,47861,16.5,28.9,15.9
Illinois,IL,14.4,37.5,57444,11.9,29.3,16.5
Indiana,IN,15.2,37.4,49446,14.8,32.7,22.9
Iowa,IA,12.2,38.2,53712,7.7,30.9,18.5
Kansas,KS,13.6,36.2,52504,14.5,31.3,18.1
Kentucky,KY,19.1,38.5,42958,10,31.6,26.2
Louisiana,LA,19.8,36.1,44555,18.7,34.9,24
Maine,ME,14.1,44.1,49462,11,28.2,19.3
Maryland,MD,10.1,38.3,73971,9.2,29.6,14.6
Massachusetts,MA,11.6,39.4,69160,4.6,23.3,14.7
Michigan,MI,16.2,39.6,49847,10.3,30.7,21.2
Minnesota,MN,11.5,37.8,61481,7.3,27.6,16.3
Mississippi,MS,21.5,36.7,39680,18.8,35.5,23
Missouri,MO,15.5,38.5,48363,12.9,30.2,20.6
Montana,MT,15.4,39.6,46328,12.9,26.4,19.9
Nebraska,NE,12.4,36.2,52686,12.4,30.2,17.3
Nevada,NV,15.2,37.4,51450,17.1,27.7,17
New Hampshire,NH,9.2,42.5,66532,11.4,27.4,17.5
New Jersey,NJ,11.1,39.4,71919,12.5,26.9,15.1
New Mexico,NM,21.3,37.2,44803,15.4,28.4,19.2
New York,NY,15.9,38.2,58878,12.3,27,14.4
North Carolina,NC,17.2,38.3,46556,16.1,29.7,19.1
North Dakota,ND,11.5,35.1,59029,8.8,32.2,19.9
Ohio,OH,15.8,39.4,49308,10.2,32.6,21
Oklahoma,OK,16.6,36.2,47529,13.9,33,21.1
Oregon,OR,16.6,39.3,51075,11,27.9,17
Pennsylvania,PA,13.6,40.7,53234,10.1,30.2,19.9
Rhode Island,RI,14.3,39.8,54891,8,27,16.3
South Carolina,SC,18,38.8,45238,17.1,32.1,21.5
South Dakota,SD,14.2,36.6,50979,9.9,29.8,18.6
Tennessee,TN,18.3,38.6,44361,14.2,31.2,24.2
Texas,TX,17.2,34.3,53035,24.9,31.9,14.5
Utah,UT,11.7,30.5,60922,13.9,25.7,9.7
Vermont,VT,12.2,42.8,54166,6.7,24.8,16.4
Virginia,VA,11.8,37.7,64902,13.1,28.5,19.5
Washington,WA,13.2,37.5,61366,10.7,27.3,15.3
West Virginia,WV,18.3,41.9,41059,10.1,35.7,26.7
Wisconsin,WI,13.2,39.2,52622,8.5,31.2,17.4
Wyoming,WY,11.2,36.6,57055,15.1,29.5,19.5
